ab_time,gps_speed,acceleration,vehicle_speed,throttle_percentage,brake_percentage,steering_angle,gear_location,drive_mode,speed_KF,acc_KF,accModfiy
20210929:14:41:34.151,0.0108,-0.0506,0.0,0.1,0.0,-0.02,1,自动驾驶,0.019222116902381896,-0.2096047389950268,-0.49588000000000004
20210929:14:41:34.200,0.0288,-0.0313,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.0010068281587513655,-0.20898561540423766,-0.30674
20210929:14:41:34.249,0.0324,-0.0419,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.013166593922511653,-0.21127183202714303,-0.41062000000000004
20210929:14:41:34.300,0.0684,-0.0443,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.00662233425583524,-0.20839854009216127,-0.43414
20210929:14:41:34.351,0.0324,-0.035,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.015492574539002983,-0.20609755309027325,-0.3430000000000001
20210929:14:41:34.400,0.07200000000000001,-0.0441,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.0060663566240793014,-0.2027531119397784,-0.43218
20210929:14:41:34.449,0.07200000000000001,-0.0441,0.0,0.1,0.0,-0.02,1,自动驾驶,-9.781991093179704e-05,-0.20091931360030163,-0.43218
20210929:14:41:34.498,0.0828,-0.0433,0.0,0.1,0.0,-0.02,1,自动驾驶,0.008088949527406606,-0.19814780959793493,-0.42434
20210929:14:41:34.550,0.018000000000000002,-0.0408,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.012298192967501528,-0.20378153329716378,-0.3998400000000001
20210929:14:41:34.600,0.0864,-0.0418,0.0,0.1,0.0,-0.02,1,自动驾驶,0.00215558075952046,-0.1978537365740419,-0.40964
20210929:14:41:34.650,0.0864,-0.0418,0.0,0.1,0.0,-0.02,1,自动驾驶,0.011382157843658688,-0.19430729005145825,-0.40964
20210929:14:41:34.698,0.0216,-0.0369,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.007964752796515675,-0.19801025672816425,-0.36162000000000005
20210929:14:41:34.748,0.0648,-0.0387,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.0028998377233824266,-0.1942089403935588,-0.37926
20210929:14:41:34.800,0.0108,-0.0301,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.019870488980161808,-0.19362183929273216,-0.29498
20210929:14:41:34.850,0.018000000000000002,-0.0485,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.029756042370039197,-0.2002978021902583,-0.47530000000000006
20210929:14:41:34.901,0.0792,-0.0416,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.010845657877396378,-0.1931921472492979,-0.40768
20210929:14:41:34.950,0.0468,-0.0368,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.011105389880893641,-0.19069634592941936,-0.36064
20210929:14:41:34.998,0.0864,-0.0388,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0045232095070543415,-0.18429462168421534,-0.38024
20210929:14:41:35.048,0.0252,-0.0459,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.01099532528614522,-0.19251992605811677,-0.44982000000000005
20210929:14:41:35.099,0.0828,-0.0568,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0003997022859565422,-0.19662347025962937,-0.55664
20210929:14:41:35.150,0.0576,-0.0309,0.0,0.1,0.0,-0.02,1,自动驾驶,0.000486891828693737,-0.19057511716538011,-0.30282000000000003
20210929:14:41:35.200,0.0252,-0.0182,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.010034367835724457,-0.18211522995069707,-0.17836000000000002
